standardized_filename,original_stem,species,bird,display_name,call_type,n_calls,recording_id,date,location,environment_class,stimulus_only,sex,age_years,social_group,session_known,kind,rel_audio_path,aviary,birth_year,sibling_group
ag_a_ah_241203-1371_01.wav,a_241203_ah_01,ag,a,Jello,ah,1,241203-1371,2024-12-03,shelter_group4,shelter,yes,F,14,4,1,single,data/ag/audio/single/a/ah/a_241203_ah_01.wav,NA,NA,unknown
ag_a_ah_241203-1371_02.wav,a_241203_ah_02,ag,a,Jello,ah,1,241203-1371,2024-12-03,shelter_group4,shelter,yes,F,14,4,1,single,data/ag/audio/single/a/ah/a_241203_ah_02.wav,NA,NA,unknown
ag_a_ah_241203-1371_03.wav,a_241203_ah_03,ag,a,Jello,ah,1,241203-1371,2024-12-03,shelter_group4,shelter,yes,F,14,4,1,single,data/ag/audio/single/a/ah/a_241203_ah_03.wav,NA,NA,unknown
ag_a_ah_241203-1371_04.wav,a_241203_ah_04,ag,a,Jello,ah,1,241203-1371,2024-12-03,shelter_group4,shelter,yes,F,14,4,1,single,data/ag/audio/single/a/ah/a_241203_ah_04.wav,NA,NA,unknown
ag_a_ah_241203-1371_05.wav,a_241203_ah_07,ag,a,Jello,ah,1,241203-1371,2024-12-03,shelter_group4,shelter,yes,F,14,4,1,single,data/ag/audio/single/a/ah/a_241203_ah_07.wav,NA,NA,unknown
ag_a_ah_241203-1371_06.wav,a_241203_ah_08,ag,a,Jello,ah,1,241203-1371,2024-12-03,shelter_group4,shelter,yes,F,14,4,1,single,data/ag/audio/single/a/ah/a_241203_ah_08.wav,NA,NA,unknown
ag_a_ah_241203-1371_07.wav,a_241203_ah_09,ag,a,Jello,ah,1,241203-1371,2024-12-03,shelter_group4,shelter,yes,F,14,4,1,single,data/ag/audio/single/a/ah/a_241203_ah_09.wav,NA,NA,unknown
ag_a_ah_241203-1371_08.wav,a_241203_ah_11,ag,a,Jello,ah,1,241203-1371,2024-12-03,shelter_group4,shelter,yes,F,14,4,1,single,data/ag/audio/single/a/ah/a_241203_ah_11.wav,NA,NA,unknown
ag_a_ah_241203-1371_09.wav,a_241203_ah_12,ag,a,Jello,ah,1,241203-1371,2024-12-03,shelter_group4,shelter,yes,F,14,4,1,single,data/ag/audio/single/a/ah/a_241203_ah_12.wav,NA,NA,unknown
ag_a_ah_241203-1371_10.wav,a_241203_ah_13,ag,a,Jello,ah,1,241203-1371,2024-12-03,shelter_group4,shelter,yes,F,14,4,1,single,data/ag/audio/single/a/ah/a_241203_ah_13.wav,NA,NA,unknown
ag_a_ah_241203-1374_01.wav,a_241203_ah_06,ag,a,Jello,ah,1,241203-1374,2024-12-03,shelter_group4,shelter,yes,F,14,4,1,single,data/ag/audio/single/a/ah/a_241203_ah_06.wav,NA,NA,unknown
ag_a_ah_241204-1376_01.wav,a_241204_ah_05,ag,a,Jello,ah,1,241204-1376,2024-12-04,shelter_group4,shelter,yes,F,14,4,1,single,data/ag/audio/single/a/ah/a_241204_ah_05.wav,NA,NA,unknown
ag_a_ah_241204-1376_02.wav,a_241204_ah_10,ag,a,Jello,ah,1,241204-1376,2024-12-04,shelter_group4,shelter,yes,F,14,4,1,single,data/ag/audio/single/a/ah/a_241204_ah_10.wav,NA,NA,unknown
ag_a_doubleco_241204-1376_01.wav,a_241204_doubleco_01,ag,a,Jello,doubleco,1,241204-1376,2024-12-04,shelter_group4,shelter,yes,F,14,4,1,single,data/ag/audio/single/a/doubleco/a_241204_doubleco_01.wav,NA,NA,unknown
ag_a_raspy_241203-1371_01.wav,a_241203_raspy_34,ag,a,Jello,raspy,1,241203-1371,2024-12-03,shelter_group4,shelter,yes,F,14,4,1,single,data/ag/audio/single/a/raspy/a_241203_raspy_34.wav,NA,NA,unknown
ag_a_raspy_241203-1371_02.wav,a_241203_raspy_35,ag,a,Jello,raspy,1,241203-1371,2024-12-03,shelter_group4,shelter,yes,F,14,4,1,single,data/ag/audio/single/a/raspy/a_241203_raspy_35.wav,NA,NA,unknown
ag_a_raspy_241203-1371_03.wav,a_241203_raspy_36,ag,a,Jello,raspy,1,241203-1371,2024-12-03,shelter_group4,shelter,yes,F,14,4,1,single,data/ag/audio/single/a/raspy/a_241203_raspy_36.wav,NA,NA,unknown
ag_a_raspy_241204-1376_01.wav,a_241204_raspy_01,ag,a,Jello,raspy,1,241204-1376,2024-12-04,shelter_group4,shelter,yes,F,14,4,1,single,data/ag/audio/single/a/raspy/a_241204_raspy_01.wav,NA,NA,unknown
ag_a_raspy_241204-1376_02.wav,a_241204_raspy_02,ag,a,Jello,raspy,1,241204-1376,2024-12-04,shelter_group4,shelter,yes,F,14,4,1,single,data/ag/audio/single/a/raspy/a_241204_raspy_02.wav,NA,NA,unknown
ag_a_raspy_241204-1376_03.wav,a_241204_raspy_03,ag,a,Jello,raspy,1,241204-1376,2024-12-04,shelter_group4,shelter,yes,F,14,4,1,single,data/ag/audio/single/a/raspy/a_241204_raspy_03.wav,NA,NA,unknown
